date,value
2015-01-01,4236.28
2015-01-02,4230.24
2015-01-05,4160.96
2015-01-06,4110.83
2015-01-07,4160.00
2015-01-08,4240.55
2015-01-09,4213.28
2015-01-12,4169.97
2015-01-13,4166.20
2015-01-14,4145.84
2015-01-15,4089.65
2015-01-16,4142.14
2015-01-19,4142.14
2015-01-20,4171.21
2015-01-21,4192.09
2015-01-22,4270.36
2015-01-23,4278.14
2015-01-26,4275.72
2015-01-27,4165.50
2015-01-28,4140.38
2015-01-29,4181.35
2015-01-30,4148.43
2015-02-02,4188.59
2015-02-03,4229.15
2015-02-04,4221.20
2015-02-05,4256.18
2015-02-06,4228.68
2015-02-09,4216.09
2015-02-10,4281.15
2015-02-11,4297.28
2015-02-12,4347.97
2015-02-13,4384.03
2015-02-16,4384.03
2015-02-17,4385.34
2015-02-18,4390.91
2015-02-19,4411.86
2015-02-20,4443.05
2015-02-23,4449.49
2015-02-24,4451.03
2015-02-25,4440.59
2015-02-26,4462.27
2015-02-27,4440.67
2015-03-02,4483.05
2015-03-03,4458.78
2015-03-04,4445.36
2015-03-05,4452.06
2015-03-06,4399.23
2015-03-09,4412.99
2015-03-10,4329.08
2015-03-11,4305.38
2015-03-12,4336.23
2015-03-13,4314.90
2015-03-16,4370.47
2015-03-17,4375.63
2015-03-18,4422.50
2015-03-19,4426.82
2015-03-20,4458.54
2015-03-23,4445.54
2015-03-24,4430.99
2015-03-25,4329.29
2015-03-26,4315.26
2015-03-27,4332.86
2015-03-30,4382.82
2015-03-31,4333.69
2015-04-01,4311.26
2015-04-02,4316.01
2015-04-03,4316.01
2015-04-06,4350.98
2015-04-07,4344.08
2015-04-08,4375.96
2015-04-09,4403.95
2015-04-10,4422.02
2015-04-13,4409.21
2015-04-14,4397.64
2015-04-15,4424.53
2015-04-16,4418.83
2015-04-17,4351.80
2015-04-20,4417.40
2015-04-21,4435.98
2015-04-22,4460.81
2015-04-23,4477.07
2015-04-24,4536.78
2015-04-27,4525.04
2015-04-28,4515.27
2015-04-29,4488.15
2015-04-30,4414.25
2015-05-01,4479.06
2015-05-04,4482.61
2015-05-05,4409.39
2015-05-06,4379.75
2015-05-07,4401.55
2015-05-08,4458.65
2015-05-11,4438.64
2015-05-12,4420.65
2015-05-13,4426.56
2015-05-14,4495.04
2015-05-15,4494.29
2015-05-18,4512.95
2015-05-19,4503.72
2015-05-20,4505.30
2015-05-21,4529.47
2015-05-22,4527.16
2015-05-25,4527.16
2015-05-26,4472.96
2015-05-27,4546.06
2015-05-28,4535.66
2015-05-29,4508.25
2015-06-01,4521.85
2015-06-02,4508.89
2015-06-03,4519.86
2015-06-04,4487.03
2015-06-05,4477.19
2015-06-08,4431.51
2015-06-09,4427.61
2015-06-10,4485.46
2015-06-11,4488.47
2015-06-12,4453.79
2015-06-15,4432.92
2015-06-16,4455.90
2015-06-17,4468.98
2015-06-18,4531.85
2015-06-19,4513.42
2015-06-22,4544.04
2015-06-23,4548.74
2015-06-24,4524.60
2015-06-25,4514.01
2015-06-26,4484.28
2015-06-29,4379.86
2015-06-30,4396.76
2015-07-01,4429.23
2015-07-02,4433.39
2015-07-03,4433.39
2015-07-06,4418.66
2015-07-07,4429.06
2015-07-08,4351.58
2015-07-09,4352.03
2015-07-10,4420.15
2015-07-13,4494.47
2015-07-14,4523.47
2015-07-15,4528.36
2015-07-16,4594.90
2015-07-17,4661.60
2015-07-20,4679.68
2015-07-21,4674.41
2015-07-22,4623.24
2015-07-23,4602.83
2015-07-24,4557.37
2015-07-27,4519.09
2015-07-28,4560.23
2015-07-29,4581.60
2015-07-30,4598.59
2015-07-31,4588.91
2015-08-03,4580.46
2015-08-04,4567.47
2015-08-05,4602.24
2015-08-06,4528.51
2015-08-07,4520.08
2015-08-10,4573.11
2015-08-11,4513.99
2015-08-12,4528.19
2015-08-13,4519.32
2015-08-14,4530.74
2015-08-17,4566.37
2015-08-18,4542.07
2015-08-19,4510.90
2015-08-20,4385.13
2015-08-21,4197.27
2015-08-24,4038.60
2015-08-25,4016.32
2015-08-26,4219.60
2015-08-27,4324.82
2015-08-28,4329.12
2015-08-31,4274.58
2015-09-01,4142.63
2015-09-02,4256.23
2015-09-03,4234.65
2015-09-04,4184.72
2015-09-07,4184.72
2015-09-08,4303.53
2015-09-09,4253.45
2015-09-10,4296.30
2015-09-11,4323.23
2015-09-14,4308.76
2015-09-15,4360.28
2015-09-16,4383.67
2015-09-17,4384.96
2015-09-18,4323.86
2015-09-21,4336.13
2015-09-22,4274.10
2015-09-23,4273.53
2015-09-24,4261.10
2015-09-25,4224.74
2015-09-28,4103.47
2015-09-29,4083.37
2015-09-30,4181.06
2015-10-01,4192.96
2015-10-02,4267.45
2015-10-05,4331.43
2015-10-06,4306.70
2015-10-07,4333.46
2015-10-08,4350.15
2015-10-09,4370.01
2015-10-12,4382.56
2015-10-13,4352.94
2015-10-14,4346.92
2015-10-15,4418.22
2015-10-16,4438.62
2015-10-19,4462.07
2015-10-20,4438.18
2015-10-21,4413.52
2015-10-22,4503.22
2015-10-23,4624.09
2015-10-26,4630.85
2015-10-27,4639.23
2015-10-28,4678.58
2015-10-29,4670.76
2015-10-30,4648.83
2015-11-02,4703.91
2015-11-03,4719.05
2015-11-04,4717.55
2015-11-05,4702.90
2015-11-06,4707.23
2015-11-09,4655.52
2015-11-10,4641.73
2015-11-11,4636.94
2015-11-12,4588.93
2015-11-13,4502.14
2015-11-16,4565.47
2015-11-17,4565.82
2015-11-18,4653.44
2015-11-19,4655.35
2015-11-20,4686.36
2015-11-23,4674.79
2015-11-24,4669.41
2015-11-25,4672.88
2015-11-26,4672.88
2015-11-27,4680.47
2015-11-30,4664.51
